station,date,prcp,tobs
USC00519397,40179,2,18.3
USC00519397,40180,0,17.2
USC00519397,40181,0,23.3
USC00519397,40182,0,24.4
USC00519397,40184,,22.8
USC00519397,40185,1.5,21.1
USC00519397,40186,0,17.8
USC00519397,40187,0,20
USC00519397,40188,0,22.8
USC00519397,40189,0.3,17.8
USC00519397,40190,0,16.1
USC00519397,40192,0,18.9
USC00519397,40193,0,18.3
USC00519397,40194,0,20
USC00519397,40195,0,17.8
USC00519397,40196,0,22.2
USC00519397,40197,0,18.9
USC00519397,40198,0,18.9
USC00519397,40199,0,20.6
USC00519397,40200,0,19.4
USC00519397,40201,0,19.4
USC00519397,40202,0.3,21.7
USC00519397,40203,0,19.4
USC00519397,40204,1,24.4
USC00519397,40205,3,20
USC00519397,40206,0,22.2
USC00519397,40208,,21.1
USC00519397,40209,0.8,19.4
USC00519397,40210,0.3,18.9
USC00519397,40212,,19.4
USC00519397,40213,0.3,20.6
USC00519397,40214,0,19.4
USC00519397,40215,0,19.4
USC00519397,40216,0,17.8
USC00519397,40217,0,20.6
USC00519397,40218,0,22.8
USC00519397,40220,0,22.8
USC00519397,40221,0.5,20.6
USC00519397,40222,0.3,20.6
USC00519397,40223,0,20.6
USC00519397,40224,0,21.7
USC00519397,40225,0,16.1
USC00519397,40226,0,20.6
USC00519397,40228,,17.2
USC00519397,40229,0.8,17.8
USC00519397,40230,0,18.3
USC00519397,40231,0,19.4
USC00519397,40232,0,20
USC00519397,40233,0,18.3
USC00519397,40234,0,24.4
USC00519397,40235,0,23.9
USC00519397,40237,0,18.9
USC00519397,40238,0.3,21.1
USC00519397,40239,0,22.2
USC00519397,40240,0,22.8
USC00519397,40241,3,21.1
USC00519397,40242,2,21.7
USC00519397,40243,0.8,22.2
USC00519397,40244,0,22.2
USC00519397,40245,10.9,20.6
USC00519397,40246,1.5,21.1
USC00519397,40248,,22.8
USC00519397,40249,0,22.2
USC00519397,40250,0,22.8
USC00519397,40251,0,21.1
USC00519397,40252,1.5,21.7
USC00519397,40254,0,20
USC00519397,40255,0,21.1
USC00519397,40258,0,22.2
USC00519397,40259,0,20.6
USC00519397,40260,0,20
USC00519397,40261,0,23.3
USC00519397,40263,,22.2
USC00519397,40264,0,22.2
USC00519397,40265,0,22.8
USC00519397,40266,0,23.3
USC00519397,40267,0,22.8
USC00519397,40268,0,22.8
USC00519397,40269,0,23.3
USC00519397,40270,0.3,23.3
USC00519397,40271,4.3,23.3
USC00519397,40272,3.8,21.7
USC00519397,40273,6.9,22.2
USC00519397,40274,0.3,23.9
USC00519397,40276,0,23.9
USC00519397,40277,0.3,23.9
USC00519397,40278,0,23.9
USC00519397,40279,0.3,22.8
USC00519397,40280,0.3,22.8
USC00519397,40281,0,21.7
USC00519397,40283,0,21.7
USC00519397,40284,0.3,20
USC00519397,40285,0,21.1
USC00519397,40286,0,21.7
USC00519397,40287,0,23.3
USC00519397,40288,1,21.7
USC00519397,40289,0.3,23.9
USC00519397,40290,0,24.4
USC00519397,40291,0.5,23.9
